날짜,종가,시가,고가,저가,거래량,변동 %
2009-12-31,45.56,46.06,46.08,45.56,50.08M,-0.91%
2009-12-30,45.98,45.81,46.07,45.77,57.61M,0.31%
2009-12-29,45.84,46.03,46.06,45.8,32.41M,-0.41%
2009-12-28,46.03,45.89,46.11,45.75,49.38M,0.52%
2009-12-24,45.79,45.42,45.79,45.41,31.77M,0.93%
2009-12-23,45.37,45.15,45.38,45.02,73.93M,0.73%
2009-12-22,45.04,44.89,45.1,44.84,51.57M,0.60%
2009-12-21,44.77,44.49,44.94,44.49,82.38M,1.11%
2009-12-18,44.28,43.96,44.3,43.82,96.44M,1.47%
2009-12-17,43.64,43.99,44.03,43.58,90.44M,-1.22%
2009-12-16,44.18,44.29,44.52,44.11,61.63M,0.14%
2009-12-15,44.12,44.23,44.49,43.99,61.17M,-0.56%
2009-12-14,44.37,44.25,44.42,44.01,47.97M,0.96%
2009-12-11,43.95,44.34,44.41,43.77,66.64M,-0.39%
2009-12-10,44.12,44.07,44.36,44.06,76.72M,0.50%
2009-12-09,43.9,43.43,43.94,43.14,78.82M,1.01%
2009-12-08,43.46,43.5,43.82,43.18,86.62M,-0.62%
2009-12-07,43.73,43.9,44.11,43.64,67.47M,-0.48%
2009-12-04,43.94,44.27,44.55,43.48,125.06M,0.53%
2009-12-03,43.71,44.06,44.32,43.7,72.46M,-0.41%
2009-12-02,43.89,43.98,44.31,43.8,81.65M,0.14%
2009-12-01,43.83,43.7,44.12,43.7,81.82M,1.04%
2009-11-30,43.38,43.23,43.44,42.93,84.82M,0.12%
2009-11-27,43.33,42.82,43.65,42.72,61.23M,-1.52%
2009-11-25,44,43.96,44.04,43.83,37.63M,0.43%
2009-11-24,43.81,43.96,43.97,43.55,60.67M,-0.34%
2009-11-23,43.96,43.69,44.22,43.68,91.62M,1.62%
2009-11-20,43.26,43.23,43.37,43.1,70.91M,-0.51%
2009-11-19,43.48,43.88,43.9,43.17,114.56M,-1.56%
2009-11-18,44.17,44.29,44.31,43.87,100.24M,-0.56%
2009-11-17,44.42,44.16,44.42,44.07,81.88M,0.32%
2009-11-16,44.28,44.01,44.47,43.94,87.78M,1.03%
2009-11-13,43.83,43.6,43.96,43.45,87.96M,0.83%
2009-11-12,43.47,43.74,43.98,43.37,92.43M,-0.57%
2009-11-11,43.72,43.76,43.96,43.43,84.68M,0.64%
2009-11-10,43.44,43.27,43.59,43.22,72.85M,0.25%
2009-11-09,43.33,42.74,43.34,42.7,101.62M,2.15%
2009-11-06,42.42,41.99,42.47,41.91,96.31M,0.59%
2009-11-05,42.17,41.64,42.22,41.61,135.20M,2.45%
2009-11-04,41.16,41.34,41.7,41.11,107.97M,0.17%
2009-11-03,41.09,40.8,41.15,40.67,95.11M,0.32%
2009-11-02,40.96,40.84,41.4,40.47,142.52M,0.42%
2009-10-30,40.79,41.89,41.98,40.75,162.80M,-2.70%
2009-10-29,41.92,41.51,42.02,41.37,85.21M,1.70%
2009-10-28,41.22,42.02,42.15,41.13,143.55M,-2.23%
2009-10-27,42.16,42.77,42.93,42.01,121.44M,-1.52%
2009-10-26,42.81,42.99,43.58,42.61,107.07M,-0.33%
2009-10-23,42.95,43.51,43.55,42.84,117.03M,-0.42%
2009-10-22,43.13,42.89,43.31,42.61,85.87M,0.40%
2009-10-21,42.96,43.02,43.64,42.88,110.40M,-0.19%
2009-10-20,43.04,43.27,43.28,42.76,89.85M,0.02%
2009-10-19,43.03,42.63,43.09,42.41,83.51M,1.01%
2009-10-16,42.6,42.74,42.81,42.3,111.86M,-0.65%
2009-10-15,42.88,42.75,42.94,42.69,85.77M,-0.23%
2009-10-14,42.98,42.92,43.11,42.67,91.00M,1.37%
2009-10-13,42.4,42.36,42.57,42.19,70.94M,0.02%
2009-10-12,42.39,42.45,42.69,42.11,53.22M,0.21%
2009-10-09,42.3,41.98,42.37,41.89,62.83M,0.55%
2009-10-08,42.07,42.14,42.44,41.97,107.85M,0.43%
2009-10-07,41.89,41.71,41.91,41.6,93.79M,0.29%
2009-10-06,41.77,41.26,41.97,41.05,124.63M,1.78%
2009-10-05,41.04,40.92,41.23,40.66,97.05M,0.81%
2009-10-02,40.71,40.55,41.08,40.55,145.29M,-0.29%
2009-10-01,40.83,41.94,41.96,40.83,140.12M,-2.97%
2009-09-30,42.08,42.21,42.43,41.43,173.10M,0.07%
2009-09-29,42.05,42.23,42.44,41.86,106.69M,-0.43%
2009-09-28,42.23,41.75,42.48,41.72,84.48M,1.69%
2009-09-25,41.53,41.61,41.92,41.41,109.22M,-0.88%
2009-09-24,41.9,42.43,42.51,41.6,111.02M,-0.88%
2009-09-23,42.27,42.65,42.99,42.2,143.92M,-0.47%
2009-09-22,42.47,42.64,42.65,42.26,75.64M,0.19%
2009-09-21,42.39,42.05,42.52,41.99,71.35M,0.31%
2009-09-18,42.26,42.38,42.44,42.04,87.45M,0.07%
2009-09-17,42.23,42.15,42.48,42.04,102.17M,-0.02%
