"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 12- 29","409.52","411.28","411.64","407.58","42.66M","-0.43%"
"2023- 12- 28","411.30","412.67","412.92","410.94","26.74M","-0.05%"
"2023- 12- 27","411.50","410.95","411.79","410.08","31.83M","0.15%"
"2023- 12- 26","410.88","409.25","411.56","409.15","22.15M","0.61%"
"2023- 12- 22","408.38","409.00","409.97","406.48","34.31M","0.15%"
"2023- 12- 21","407.77","407.06","408.14","404.47","45.28M","1.16%"
"2023- 12- 20","403.08","408.35","410.47","402.90","53.22M","-1.49%"
"2023- 12- 19","409.16","407.54","409.28","407.35","35.05M","0.51%"
"2023- 12- 18","407.08","404.93","407.99","404.60","46.61M","0.43%"
"2023- 12- 15","405.34","404.18","406.54","403.57","62.90M","0.48%"
"2023- 12- 14","403.39","404.98","406.30","400.34","55.14M","-0.09%"
"2023- 12- 13","403.74","399.62","404.36","398.84","53.60M","1.27%"
"2023- 12- 12","398.67","395.56","398.79","394.41","38.69M","0.80%"
"2023- 12- 11","395.52","391.74","395.79","391.53","40.82M","0.85%"
"2023- 12- 08","392.17","388.67","392.62","388.48","46.69M","0.45%"
"2023- 12- 07","390.43","388.07","391.27","386.96","49.28M","1.40%"
"2023- 12- 06","385.05","390.27","390.37","384.70","41.52M","-0.58%"
"2023- 12- 05","387.29","384.39","388.50","384.21","42.09M","0.25%"
"2023- 12- 04","386.32","386.09","386.60","382.66","50.74M","-0.93%"
"2023- 12- 01","389.94","387.75","390.54","386.07","40.49M","0.29%"
"2023- 11- 30","388.83","390.08","390.55","385.82","52.31M","-0.25%"
"2023- 11- 29","389.81","392.69","394.14","389.46","38.49M","-0.10%"
"2023- 11- 28","390.19","388.41","390.78","388.05","35.25M","0.26%"
"2023- 11- 27","389.17","389.01","391.15","388.28","33.86M","-0.09%"
"2023- 11- 24","389.51","389.65","390.25","388.50","15.72M","-0.14%"
"2023- 11- 22","390.06","390.57","393.07","389.04","44.18M","0.41%"
"2023- 11- 21","388.47","389.01","389.23","386.70","43.34M","-0.58%"
"2023- 11- 20","390.74","386.05","391.41","386.05","44.54M","1.22%"
"2023- 11- 17","386.04","385.21","387.07","384.29","46.62M","0.02%"
"2023- 11- 16","385.95","384.84","386.19","383.56","44.61M","0.09%"
"2023- 11- 15","385.62","387.25","387.75","384.23","53.38M","0.08%"
